FFT Noise Above Stim Freq Mean
, 50.0
4.00, 0.0050

FFT Noise Above Stim Freq SD
, 50.0
4.00, 0.0114

FFT Noise Below Stim Freq Mean
, 50.0
4.00, 0.0028

FFT Noise Below Stim Freq SD
, 50.0
4.00, 0.0052
